t_s,port,port_name,status,d1,d2
2485.241351,32:0,ROLI Piano ROLI Piano MIDI 1,212,127,0
2485.262372,32:0,ROLI Piano ROLI Piano MIDI 1,228,84,63
2485.267450,32:0,ROLI Piano ROLI Piano MIDI 1,228,44,63
2485.272366,32:0,ROLI Piano ROLI Piano MIDI 1,228,108,62
2485.277587,32:0,ROLI Piano ROLI Piano MIDI 1,228,85,62
2485.322284,32:0,ROLI Piano ROLI Piano MIDI 1,228,107,62
2485.327404,32:0,ROLI Piano ROLI Piano MIDI 1,228,54,63
2485.332353,32:0,ROLI Piano ROLI Piano MIDI 1,228,122,63
2485.337383,32:0,ROLI Piano ROLI Piano MIDI 1,228,0,64
2485.373343,32:0,ROLI Piano ROLI Piano MIDI 1,212,117,0
2485.384379,32:0,ROLI Piano ROLI Piano MIDI 1,212,116,0
2485.395369,32:0,ROLI Piano ROLI Piano MIDI 1,212,127,0
2485.427362,32:0,ROLI Piano ROLI Piano MIDI 1,228,115,63
2485.432260,32:0,ROLI Piano ROLI Piano MIDI 1,228,31,63
2485.437506,32:0,ROLI Piano ROLI Piano MIDI 1,228,85,62
2485.502322,32:0,ROLI Piano ROLI Piano MIDI 1,228,111,62
2485.507378,32:0,ROLI Piano ROLI Piano MIDI 1,228,49,63
2485.512452,32:0,ROLI Piano ROLI Piano MIDI 1,228,0,64
2485.538432,32:0,ROLI Piano ROLI Piano MIDI 1,212,114,0
2485.547388,32:0,ROLI Piano ROLI Piano MIDI 1,228,69,64
2485.549367,32:0,ROLI Piano ROLI Piano MIDI 1,212,85,0
2485.552392,32:0,ROLI Piano ROLI Piano MIDI 1,228,42,65
2485.560452,32:0,ROLI Piano ROLI Piano MIDI 1,212,73,0
2485.571444,32:0,ROLI Piano ROLI Piano MIDI 1,212,57,0
2485.582454,32:0,ROLI Piano ROLI Piano MIDI 1,212,62,0
2485.592383,32:0,ROLI Piano ROLI Piano MIDI 1,228,0,64
2485.593262,32:0,ROLI Piano ROLI Piano MIDI 1,212,80,0
2485.604428,32:0,ROLI Piano ROLI Piano MIDI 1,212,110,0
2485.615436,32:0,ROLI Piano ROLI Piano MIDI 1,212,127,0
2485.632485,32:0,ROLI Piano ROLI Piano MIDI 1,228,74,63
2485.637480,32:0,ROLI Piano ROLI Piano MIDI 1,228,113,62
2485.642386,32:0,ROLI Piano ROLI Piano MIDI 1,228,85,62
2485.727422,32:0,ROLI Piano ROLI Piano MIDI 1,228,9,63
2485.732442,32:0,ROLI Piano ROLI Piano MIDI 1,228,75,63
2485.737450,32:0,ROLI Piano ROLI Piano MIDI 1,228,0,64
2485.742332,32:0,ROLI Piano ROLI Piano MIDI 1,229,0,64
2485.742346,32:0,ROLI Piano ROLI Piano MIDI 1,149,53,94
2485.764354,32:0,ROLI Piano ROLI Piano MIDI 1,212,126,0
2485.778441,32:0,ROLI Piano ROLI Piano MIDI 1,212,90,0
2485.779382,32:0,ROLI Piano ROLI Piano MIDI 1,228,33,64
2485.787303,32:0,ROLI Piano ROLI Piano MIDI 1,228,42,65
2485.792458,32:0,ROLI Piano ROLI Piano MIDI 1,212,62,0
2485.806465,32:0,ROLI Piano ROLI Piano MIDI 1,212,32,0
2485.820403,32:0,ROLI Piano ROLI Piano MIDI 1,212,0,0
2485.833373,32:0,ROLI Piano ROLI Piano MIDI 1,228,29,64
2485.861429,32:0,ROLI Piano ROLI Piano MIDI 1,229,114,63
2485.867417,32:0,ROLI Piano ROLI Piano MIDI 1,229,99,63
2485.873216,32:0,ROLI Piano ROLI Piano MIDI 1,229,102,63
2485.879391,32:0,ROLI Piano ROLI Piano MIDI 1,228,0,64
2485.879403,32:0,ROLI Piano ROLI Piano MIDI 1,132,79,1
2485.879406,32:0,ROLI Piano ROLI Piano MIDI 1,213,4,0
2485.879409,32:0,ROLI Piano ROLI Piano MIDI 1,229,120,63
2485.884433,32:0,ROLI Piano ROLI Piano MIDI 1,229,0,64
2485.890505,32:0,ROLI Piano ROLI Piano MIDI 1,213,33,0
2485.901472,32:0,ROLI Piano ROLI Piano MIDI 1,213,74,0
2485.912365,32:0,ROLI Piano ROLI Piano MIDI 1,213,109,0
2485.923482,32:0,ROLI Piano ROLI Piano MIDI 1,213,127,0
2485.924210,32:0,ROLI Piano ROLI Piano MIDI 1,229,8,64
2485.929358,32:0,ROLI Piano ROLI Piano MIDI 1,229,49,64
2485.934396,32:0,ROLI Piano ROLI Piano MIDI 1,213,119,0
2485.934403,32:0,ROLI Piano ROLI Piano MIDI 1,229,83,64
2485.939482,32:0,ROLI Piano ROLI Piano MIDI 1,229,114,64
2485.944412,32:0,ROLI Piano ROLI Piano MIDI 1,229,9,65
2485.945292,32:0,ROLI Piano ROLI Piano MIDI 1,213,111,0
2485.949454,32:0,ROLI Piano ROLI Piano MIDI 1,229,24,65
2485.954454,32:0,ROLI Piano ROLI Piano MIDI 1,229,22,65
2485.956476,32:0,ROLI Piano ROLI Piano MIDI 1,213,108,0
2485.959481,32:0,ROLI Piano ROLI Piano MIDI 1,229,2,65
2485.964415,32:0,ROLI Piano ROLI Piano MIDI 1,229,95,64
2485.967567,32:0,ROLI Piano ROLI Piano MIDI 1,213,117,0
2485.969421,32:0,ROLI Piano ROLI Piano MIDI 1,229,50,64
2485.974531,32:0,ROLI Piano ROLI Piano MIDI 1,229,0,64
2485.978396,32:0,ROLI Piano ROLI Piano MIDI 1,213,127,0
2486.064433,32:0,ROLI Piano ROLI Piano MIDI 1,229,26,64
2486.069477,32:0,ROLI Piano ROLI Piano MIDI 1,229,92,64
2486.074399,32:0,ROLI Piano ROLI Piano MIDI 1,229,12,65
2486.077390,32:0,ROLI Piano ROLI Piano MIDI 1,213,117,0
2486.079115,32:0,ROLI Piano ROLI Piano MIDI 1,229,42,65
2486.088421,32:0,ROLI Piano ROLI Piano MIDI 1,213,113,0
2486.094426,32:0,ROLI Piano ROLI Piano MIDI 1,229,36,65
2486.099429,32:0,ROLI Piano ROLI Piano MIDI 1,213,122,0
2486.099437,32:0,ROLI Piano ROLI Piano MIDI 1,229,120,64
2486.104417,32:0,ROLI Piano ROLI Piano MIDI 1,229,77,64
2486.109457,32:0,ROLI Piano ROLI Piano MIDI 1,229,30,64
2486.110136,32:0,ROLI Piano ROLI Piano MIDI 1,213,127,0
2486.114445,32:0,ROLI Piano ROLI Piano MIDI 1,229,0,64
2486.385348,32:0,ROLI Piano ROLI Piano MIDI 1,213,120,0
2486.396363,32:0,ROLI Piano ROLI Piano MIDI 1,213,104,0
2486.407319,32:0,ROLI Piano ROLI Piano MIDI 1,213,81,0
2486.418376,32:0,ROLI Piano ROLI Piano MIDI 1,213,55,0
2486.429323,32:0,ROLI Piano ROLI Piano MIDI 1,213,29,0
2486.440382,32:0,ROLI Piano ROLI Piano MIDI 1,213,4,0
2486.451380,32:0,ROLI Piano ROLI Piano MIDI 1,213,0,0
2486.542314,32:0,ROLI Piano ROLI Piano MIDI 1,146,77,1
2486.571332,32:0,ROLI Piano ROLI Piano MIDI 1,133,53,1
2486.651319,32:0,ROLI Piano ROLI Piano MIDI 1,210,2,0
2486.662338,32:0,ROLI Piano ROLI Piano MIDI 1,210,4,0
2486.673383,32:0,ROLI Piano ROLI Piano MIDI 1,210,9,0
2486.684485,32:0,ROLI Piano ROLI Piano MIDI 1,210,13,0
2486.695371,32:0,ROLI Piano ROLI Piano MIDI 1,210,16,0
2486.717524,32:0,ROLI Piano ROLI Piano MIDI 1,210,17,0
2486.728363,32:0,ROLI Piano ROLI Piano MIDI 1,210,18,0
2486.750350,32:0,ROLI Piano ROLI Piano MIDI 1,210,20,0
2486.772447,32:0,ROLI Piano ROLI Piano MIDI 1,210,22,0
2486.783390,32:0,ROLI Piano ROLI Piano MIDI 1,210,23,0
2486.805329,32:0,ROLI Piano ROLI Piano MIDI 1,210,20,0
2486.816336,32:0,ROLI Piano ROLI Piano MIDI 1,210,19,0
2486.838429,32:0,ROLI Piano ROLI Piano MIDI 1,210,14,0
2486.849355,32:0,ROLI Piano ROLI Piano MIDI 1,210,7,0
2486.860434,32:0,ROLI Piano ROLI Piano MIDI 1,210,0,0
2487.056500,32:0,ROLI Piano ROLI Piano MIDI 1,210,53,0
2487.067397,32:0,ROLI Piano ROLI Piano MIDI 1,210,127,0
2487.430483,32:0,ROLI Piano ROLI Piano MIDI 1,210,126,0
2487.441338,32:0,ROLI Piano ROLI Piano MIDI 1,210,79,0
2487.450160,32:0,ROLI Piano ROLI Piano MIDI 1,149,53,65
2487.455429,32:0,ROLI Piano ROLI Piano MIDI 1,230,0,64
2487.455432,32:0,ROLI Piano ROLI Piano MIDI 1,150,52,56
2487.458428,32:0,ROLI Piano ROLI Piano MIDI 1,210,1,0
2487.475510,32:0,ROLI Piano ROLI Piano MIDI 1,210,0,0
2487.522407,32:0,ROLI Piano ROLI Piano MIDI 1,214,0,0
2487.522411,32:0,ROLI Piano ROLI Piano MIDI 1,134,52,61
2487.577355,32:0,ROLI Piano ROLI Piano MIDI 1,130,77,1
2487.598389,32:0,ROLI Piano ROLI Piano MIDI 1,213,1,0
2487.609484,32:0,ROLI Piano ROLI Piano MIDI 1,213,5,0
2487.620355,32:0,ROLI Piano ROLI Piano MIDI 1,213,8,0
2487.631396,32:0,ROLI Piano ROLI Piano MIDI 1,213,12,0
2487.642258,32:0,ROLI Piano ROLI Piano MIDI 1,213,17,0
2487.653457,32:0,ROLI Piano ROLI Piano MIDI 1,213,21,0
2487.664481,32:0,ROLI Piano ROLI Piano MIDI 1,213,24,0
2487.675342,32:0,ROLI Piano ROLI Piano MIDI 1,213,26,0
2487.686369,32:0,ROLI Piano ROLI Piano MIDI 1,213,25,0
2487.708441,32:0,ROLI Piano ROLI Piano MIDI 1,213,24,0
2487.719411,32:0,ROLI Piano ROLI Piano MIDI 1,213,23,0
2487.730350,32:0,ROLI Piano ROLI Piano MIDI 1,213,20,0
2487.741471,32:0,ROLI Piano ROLI Piano MIDI 1,213,17,0
2487.752486,32:0,ROLI Piano ROLI Piano MIDI 1,213,15,0
2487.763423,32:0,ROLI Piano ROLI Piano MIDI 1,213,16,0
2487.774392,32:0,ROLI Piano ROLI Piano MIDI 1,213,20,0
2487.785498,32:0,ROLI Piano ROLI Piano MIDI 1,213,25,0
2487.796424,32:0,ROLI Piano ROLI Piano MIDI 1,213,30,0
2487.807522,32:0,ROLI Piano ROLI Piano MIDI 1,213,33,0
2487.818359,32:0,ROLI Piano ROLI Piano MIDI 1,213,34,0
2487.840470,32:0,ROLI Piano ROLI Piano MIDI 1,213,33,0
2487.851496,32:0,ROLI Piano ROLI Piano MIDI 1,213,29,0
2487.862466,32:0,ROLI Piano ROLI Piano MIDI 1,213,24,0
2487.873391,32:0,ROLI Piano ROLI Piano MIDI 1,213,18,0
2487.906459,32:0,ROLI Piano ROLI Piano MIDI 1,213,21,0
2487.917524,32:0,ROLI Piano ROLI Piano MIDI 1,213,26,0
2487.928406,32:0,ROLI Piano ROLI Piano MIDI 1,213,31,0
2487.939416,32:0,ROLI Piano ROLI Piano MIDI 1,213,35,0
