t,src,status,d1,d2
1788433231.277533,iPad,233,102,66
1788433231.277533,iPad,232,55,66
1788433231.293637,iPad,231,94,66
1788433231.294072,iPad,215,3,0
1788433231.294173,iPad,233,115,66
1788433231.294173,iPad,232,68,66
1788433231.310335,iPad,231,108,66
1788433231.310479,iPad,215,2,0
1788433231.310562,iPad,233,127,66
1788433231.311014,iPad,232,81,66
1788433231.326978,iPad,231,120,66
1788433231.327538,iPad,215,1,0
1788433231.327651,iPad,233,13,67
1788433231.327651,iPad,232,95,66
1788433231.344338,iPad,231,3,67
1788433231.344432,iPad,215,0,0
1788433231.344514,iPad,233,24,67
1788433231.345089,iPad,232,107,66
1788433231.360382,iPad,231,14,67
1788433231.360382,iPad,233,33,67
1788433231.360515,iPad,232,117,66
1788433231.377043,iPad,231,23,67
1788433231.377604,iPad,233,43,67
1788433231.377604,iPad,232,126,66
1788433231.393617,iPad,231,31,67
1788433231.393753,iPad,233,51,67
1788433231.394183,iPad,232,5,67
1788433231.410244,iPad,231,38,67
1788433231.410385,iPad,233,58,67
1788433231.410490,iPad,232,13,67
1788433231.426989,iPad,231,43,67
1788433231.427062,iPad,233,64,67
1788433231.427117,iPad,232,18,67
1788433231.443692,iPad,231,47,67
1788433231.443787,iPad,233,68,67
1788433231.443818,iPad,232,23,67
1788433231.460212,iPad,231,51,67
1788433231.460361,iPad,233,73,67
1788433231.460478,iPad,232,27,67
1788433231.476914,iPad,231,54,67
1788433231.476914,iPad,233,76,67
1788433231.477047,iPad,232,30,67
1788433231.493599,iPad,231,57,67
1788433231.493744,iPad,233,79,67
1788433231.493857,iPad,232,33,67
1788433231.510254,iPad,231,60,67
1788433231.510355,iPad,233,81,67
1788433231.510438,iPad,232,36,67
1788433231.526924,iPad,231,62,67
1788433231.526988,iPad,233,84,67
1788433231.527053,iPad,232,39,67
1788433231.543618,iPad,231,65,67
1788433231.543764,iPad,233,85,67
1788433231.543976,iPad,232,40,67
1788433231.560241,iPad,231,66,67
1788433231.560350,iPad,233,86,67
1788433231.560440,iPad,232,41,67
1788433231.560954,iPad,217,0,0
1788433231.561033,iPad,137,52,64
1788433231.576776,iPad,215,0,0
1788433231.577437,iPad,135,75,64
1788433231.577437,iPad,136,41,64
1788433231.577620,iPad,216,0,0
1788433231.811482,iPad,234,0,64
1788433231.811482,iPad,154,68,120
1788433231.893221,iPad,234,2,64
1788433231.893342,iPad,218,0,0
1788433231.893420,iPad,138,68,64
1788433231.994677,iPad,235,0,64
1788433231.994677,iPad,155,69,120
1788433232.076760,iPad,219,0,0
1788433232.076876,iPad,139,69,64
1788433232.144401,iPad,236,0,64
1788433232.144401,iPad,156,68,120
1788433232.226672,iPad,220,0,0
1788433232.226787,iPad,140,68,64
1788433232.327802,iPad,237,0,64
1788433232.327802,iPad,157,68,120
1788433232.409947,iPad,221,0,0
1788433232.410044,iPad,141,68,64
1788433232.811859,iPad,238,0,64
1788433232.811859,iPad,158,64,120
1788433232.910135,iPad,222,0,0
1788433232.910249,iPad,142,64,64
1788433233.344242,iPad,239,0,64
1788433233.344242,iPad,159,38,120
1788433233.460113,iPad,223,0,0
1788433233.460270,iPad,143,38,64
1788433233.877650,iPad,225,0,64
1788433233.877650,iPad,145,49,120
1788433233.976785,iPad,209,0,0
1788433233.976901,iPad,129,49,64
1788433234.427629,iPad,226,0,64
1788433234.427629,iPad,146,73,120
1788433234.926749,iPad,210,0,0
1788433234.926824,iPad,130,73,64
1788433235.561253,iPad,227,0,64
1788433235.561253,iPad,147,53,120
1788433235.609840,iPad,211,0,0
1788433235.609945,iPad,131,53,64
1788433235.728237,iPad,228,0,64
1788433235.728237,iPad,148,53,120
1788433235.776616,iPad,212,0,0
1788433235.776724,iPad,132,53,64
1788433235.877790,iPad,229,0,64
1788433235.877790,iPad,149,53,120
1788433235.959934,iPad,213,0,0
1788433235.960020,iPad,133,53,64
1788433236.027819,iPad,230,0,64
1788433236.027819,iPad,150,53,120
1788433236.076588,iPad,214,0,0
1788433236.076690,iPad,134,53,64
1788433236.494525,iPad,233,0,64
1788433236.494525,iPad,153,44,120
1788433236.559874,iPad,217,0,0
1788433236.559998,iPad,137,44,64
1788433237.010776,iPad,231,0,64
1788433237.010776,iPad,151,66,120
1788433237.193024,iPad,215,0,0
1788433237.193134,iPad,135,66,64
1788433237.477289,iPad,232,0,64
1788433237.477289,iPad,152,102,120
1788433237.776365,iPad,216,0,0
1788433237.776479,iPad,136,102,64
1788433237.994465,iPad,234,0,64
1788433237.994465,iPad,154,42,120
1788433238.526406,iPad,218,0,0
1788433238.526509,iPad,138,42,64
1788433239.077453,iPad,235,0,64
1788433239.077453,iPad,155,38,120
1788433239.126507,iPad,219,0,0
1788433239.126605,iPad,139,38,64
1788433239.244266,iPad,236,0,64
1788433239.244266,iPad,156,38,120
1788433239.293075,iPad,220,0,0
1788433239.293188,iPad,140,38,64
1788433239.394262,iPad,237,0,64
1788433239.394262,iPad,157,38,120
1788433239.459736,iPad,221,0,0
1788433239.459874,iPad,141,38,64
1788433239.527617,iPad,238,0,64
