t,src,status,d1,d2
1788426323.525355,Réseau Session RTP 1,227,0,67
1788426323.525355,Réseau Session RTP 1,211,7,0
1788426323.540709,Réseau Session RTP 1,227,42,67
1788426323.540709,Réseau Session RTP 1,211,2,0
1788426323.558825,Réseau Session RTP 1,227,77,67
1788426323.558825,Réseau Session RTP 1,211,0,0
1788426323.574999,Réseau Session RTP 1,227,112,67
1788426323.590894,Réseau Session RTP 1,227,26,68
1788426323.609129,Réseau Session RTP 1,227,68,68
1788426323.624862,Réseau Session RTP 1,227,103,68
1788426323.640920,Réseau Session RTP 1,227,10,69
1788426323.659788,Réseau Session RTP 1,227,45,69
1788426323.675198,Réseau Session RTP 1,227,79,69
1788426323.690932,Réseau Session RTP 1,227,114,69
1788426323.708820,Réseau Session RTP 1,227,28,70
1788426323.724803,Réseau Session RTP 1,227,77,70
1788426323.741109,Réseau Session RTP 1,227,5,71
1788426323.760222,Réseau Session RTP 1,227,61,71
1788426323.774161,Réseau Session RTP 1,227,117,71
1788426323.790833,Réseau Session RTP 1,227,45,72
1788426323.808967,Réseau Session RTP 1,227,115,72
1788426323.825072,Réseau Session RTP 1,227,70,73
1788426323.839946,Réseau Session RTP 1,211,0,0
1788426323.839946,Réseau Session RTP 1,131,85,64
1788426324.277245,Réseau Session RTP 1,228,0,64
1788426324.277245,Réseau Session RTP 1,148,55,120
1788426324.325317,Réseau Session RTP 1,228,3,65
1788426324.342766,Réseau Session RTP 1,228,16,66
1788426324.356849,Réseau Session RTP 1,228,35,67
1788426324.375524,Réseau Session RTP 1,228,47,68
1788426324.390518,Réseau Session RTP 1,228,52,69
1788426324.408551,Réseau Session RTP 1,228,28,70
1788426324.424179,Réseau Session RTP 1,228,119,70
1788426324.440899,Réseau Session RTP 1,228,54,71
1788426324.458851,Réseau Session RTP 1,228,110,71
1788426324.475034,Réseau Session RTP 1,228,31,72
1788426324.569367,Réseau Session RTP 1,228,73,72
1788426324.569367,Réseau Session RTP 1,228,115,72
1788426324.569367,Réseau Session RTP 1,228,28,73
1788426324.569367,Réseau Session RTP 1,228,70,73
1788426324.569367,Réseau Session RTP 1,228,112,73
1788426324.574935,Réseau Session RTP 1,228,19,74
1788426324.591084,Réseau Session RTP 1,228,75,74
1788426324.609099,Réseau Session RTP 1,228,124,74
1788426324.624966,Réseau Session RTP 1,228,38,75
1788426324.640945,Réseau Session RTP 1,228,94,75
1788426324.658524,Réseau Session RTP 1,228,1,76
1788426324.675075,Réseau Session RTP 1,228,50,76
1788426324.675075,Réseau Session RTP 1,212,1,0
1788426324.691549,Réseau Session RTP 1,228,105,76
1788426324.691549,Réseau Session RTP 1,212,2,0
1788426324.709046,Réseau Session RTP 1,228,26,77
1788426324.709046,Réseau Session RTP 1,212,3,0
1788426324.725095,Réseau Session RTP 1,228,96,77
1788426324.725095,Réseau Session RTP 1,212,5,0
1788426324.741081,Réseau Session RTP 1,228,10,78
1788426324.741081,Réseau Session RTP 1,212,0,0
1788426324.741081,Réseau Session RTP 1,132,55,64
1788426325.091512,Réseau Session RTP 1,229,0,64
1788426325.091512,Réseau Session RTP 1,149,52,120
1788426325.159286,Réseau Session RTP 1,229,49,64
1788426325.174953,Réseau Session RTP 1,229,3,65
1788426325.195723,Réseau Session RTP 1,229,89,65
1788426325.208125,Réseau Session RTP 1,229,44,66
1788426325.225541,Réseau Session RTP 1,229,7,67
1788426325.240864,Réseau Session RTP 1,229,119,67
1788426325.259116,Réseau Session RTP 1,229,96,68
1788426325.274841,Réseau Session RTP 1,229,100,69
1788426325.290808,Réseau Session RTP 1,229,91,70
1788426325.308939,Réseau Session RTP 1,229,82,71
1788426325.325023,Réseau Session RTP 1,229,73,72
1788426325.341028,Réseau Session RTP 1,229,63,73
1788426325.359063,Réseau Session RTP 1,229,47,74
1788426325.374986,Réseau Session RTP 1,229,31,75
1788426325.390714,Réseau Session RTP 1,229,8,76
1788426325.409104,Réseau Session RTP 1,229,99,76
1788426325.424251,Réseau Session RTP 1,229,47,77
1788426325.440309,Réseau Session RTP 1,229,117,77
1788426325.458271,Réseau Session RTP 1,229,59,78
1788426325.474417,Réseau Session RTP 1,229,15,79
1788426325.491032,Réseau Session RTP 1,229,120,79
1788426325.509333,Réseau Session RTP 1,229,124,80
1788426325.524967,Réseau Session RTP 1,229,80,81
1788426325.524967,Réseau Session RTP 1,213,0,0
1788426325.524967,Réseau Session RTP 1,133,52,64
1788426328.762555,Réseau Session RTP 1,176,101,0
1788426328.762555,Réseau Session RTP 1,176,100,6
1788426328.762555,Réseau Session RTP 1,176,6,15
1788426328.762555,Réseau Session RTP 1,176,101,127
1788426328.762555,Réseau Session RTP 1,176,100,127
1788426328.762555,Réseau Session RTP 1,177,101,0
1788426328.771008,Réseau Session RTP 1,177,100,0
1788426328.771008,Réseau Session RTP 1,177,6,48
1788426328.771008,Réseau Session RTP 1,177,101,127
1788426328.783010,Réseau Session RTP 1,177,100,127
1788426328.783010,Réseau Session RTP 1,178,101,0
1788426328.783010,Réseau Session RTP 1,178,100,0
1788426328.783010,Réseau Session RTP 1,178,6,48
1788426328.801340,Réseau Session RTP 1,178,101,127
1788426328.801340,Réseau Session RTP 1,178,100,127
1788426328.801340,Réseau Session RTP 1,179,101,0
1788426328.813150,Réseau Session RTP 1,179,100,0
1788426328.813150,Réseau Session RTP 1,179,6,48
1788426328.813150,Réseau Session RTP 1,179,101,127
1788426328.825030,Réseau Session RTP 1,179,100,127
1788426328.825030,Réseau Session RTP 1,180,101,0
1788426328.835140,Réseau Session RTP 1,180,100,0
1788426328.835140,Réseau Session RTP 1,180,6,48
1788426328.835140,Réseau Session RTP 1,180,101,127
1788426328.835140,Réseau Session RTP 1,180,100,127
1788426328.848981,Réseau Session RTP 1,181,101,0
1788426328.848981,Réseau Session RTP 1,181,100,0
1788426328.848981,Réseau Session RTP 1,181,6,48
1788426328.863246,Réseau Session RTP 1,181,101,127
1788426328.863246,Réseau Session RTP 1,181,100,127
1788426328.863246,Réseau Session RTP 1,182,101,0
1788426328.863246,Réseau Session RTP 1,182,100,0
1788426328.875583,Réseau Session RTP 1,182,6,48
1788426328.886946,Réseau Session RTP 1,182,101,127
1788426328.886946,Réseau Session RTP 1,182,100,127
1788426328.886946,Réseau Session RTP 1,183,101,0
1788426328.886946,Réseau Session RTP 1,183,100,0
1788426328.902972,Réseau Session RTP 1,183,6,48
1788426328.902972,Réseau Session RTP 1,183,101,127
1788426328.902972,Réseau Session RTP 1,183,100,127
1788426328.902972,Réseau Session RTP 1,184,101,0
1788426328.902972,Réseau Session RTP 1,184,100,0
1788426328.925154,Réseau Session RTP 1,184,6,48
1788426328.925154,Réseau Session RTP 1,184,101,127
1788426328.925154,Réseau Session RTP 1,184,100,127
1788426328.937021,Réseau Session RTP 1,185,101,0
1788426328.937021,Réseau Session RTP 1,185,100,0
