t,src,status,d1,d2
1788425696.705164,Réseau Session RTP 1,228,5,63
1788425696.705164,Réseau Session RTP 1,229,36,65
1788425696.705164,Réseau Session RTP 1,230,114,62
1788425696.705164,Réseau Session RTP 1,231,66,64
1788425696.705164,Réseau Session RTP 1,232,31,64
1788425696.705164,Réseau Session RTP 1,233,4,63
1788425696.705164,Réseau Session RTP 1,217,20,0
1788425696.705164,Réseau Session RTP 1,234,115,62
1788425696.705164,Réseau Session RTP 1,218,11,0
1788425696.705164,Réseau Session RTP 1,219,17,0
1788425696.705164,Réseau Session RTP 1,213,43,0
1788425696.705164,Réseau Session RTP 1,212,34,0
1788425696.705336,Réseau Session RTP 1,215,4,0
1788425696.705336,Réseau Session RTP 1,216,13,0
1788425696.719428,Réseau Session RTP 1,225,40,64
1788425696.719428,Réseau Session RTP 1,209,73,0
1788425696.719428,Réseau Session RTP 1,226,59,64
1788425696.719428,Réseau Session RTP 1,210,96,0
1788425696.719428,Réseau Session RTP 1,228,2,63
1788425696.719428,Réseau Session RTP 1,230,117,62
1788425696.719428,Réseau Session RTP 1,231,60,64
1788425696.719428,Réseau Session RTP 1,232,37,64
1788425696.719428,Réseau Session RTP 1,233,0,63
1788425696.719428,Réseau Session RTP 1,217,17,0
1788425696.719428,Réseau Session RTP 1,234,118,62
1788425696.719428,Réseau Session RTP 1,218,12,0
1788425696.719428,Réseau Session RTP 1,219,18,0
1788425696.719428,Réseau Session RTP 1,213,42,0
1788425696.719428,Réseau Session RTP 1,212,35,0
1788425696.719689,Réseau Session RTP 1,215,3,0
1788425696.719689,Réseau Session RTP 1,216,12,0
1788425696.719689,Réseau Session RTP 1,235,37,65
1788425696.733264,Réseau Session RTP 1,225,46,64
1788425696.733264,Réseau Session RTP 1,209,77,0
1788425696.733264,Réseau Session RTP 1,226,54,64
1788425696.733264,Réseau Session RTP 1,210,100,0
1788425696.733264,Réseau Session RTP 1,228,126,62
1788425696.733264,Réseau Session RTP 1,230,120,62
1788425696.733264,Réseau Session RTP 1,231,54,64
1788425696.733264,Réseau Session RTP 1,232,43,64
1788425696.733264,Réseau Session RTP 1,233,124,62
1788425696.733264,Réseau Session RTP 1,217,15,0
1788425696.733264,Réseau Session RTP 1,234,122,62
1788425696.733264,Réseau Session RTP 1,218,14,0
1788425696.733264,Réseau Session RTP 1,219,19,0
1788425696.733264,Réseau Session RTP 1,229,37,65
1788425696.733264,Réseau Session RTP 1,213,41,0
1788425696.733264,Réseau Session RTP 1,214,55,0
1788425696.733447,Réseau Session RTP 1,215,2,0
1788425696.733447,Réseau Session RTP 1,216,10,0
1788425696.733447,Réseau Session RTP 1,212,36,0
1788425696.743986,Réseau Session RTP 1,225,49,64
1788425696.743986,Réseau Session RTP 1,209,80,0
1788425696.743986,Réseau Session RTP 1,226,49,64
1788425696.743986,Réseau Session RTP 1,210,103,0
1788425696.743986,Réseau Session RTP 1,228,123,62
1788425696.743986,Réseau Session RTP 1,230,123,62
1788425696.743986,Réseau Session RTP 1,231,48,64
1788425696.743986,Réseau Session RTP 1,232,49,64
1788425696.743986,Réseau Session RTP 1,233,121,62
1788425696.743986,Réseau Session RTP 1,217,14,0
1788425696.743986,Réseau Session RTP 1,234,125,62
1788425696.743986,Réseau Session RTP 1,218,16,0
1788425696.743986,Réseau Session RTP 1,219,21,0
1788425696.743986,Réseau Session RTP 1,213,40,0
1788425696.759098,Réseau Session RTP 1,225,54,64
1788425696.759098,Réseau Session RTP 1,209,82,0
1788425696.759098,Réseau Session RTP 1,226,46,64
1788425696.759098,Réseau Session RTP 1,210,105,0
1788425696.759098,Réseau Session RTP 1,228,121,62
1788425696.759098,Réseau Session RTP 1,230,125,62
1788425696.759098,Réseau Session RTP 1,231,45,64
1788425696.759098,Réseau Session RTP 1,232,52,64
1788425696.759098,Réseau Session RTP 1,216,9,0
1788425696.759098,Réseau Session RTP 1,233,120,62
1788425696.759098,Réseau Session RTP 1,217,13,0
1788425696.759098,Réseau Session RTP 1,234,127,62
