t,status,d1,d2,src
690690.9208,190,100,127,2
690690.9208,191,101,0,2
690690.9208,191,100,0,2
690690.9208,191,6,48,2
690690.9208,191,101,127,2
690690.9208,191,100,127,2
690690.9208,224,0,64,3
690690.9208,176,1,0,3
690690.9208,176,23,0,3
690690.9208,176,24,0,3
690690.9208,176,64,0,3
690691.0921,176,101,0,2
690691.0921,176,100,6,2
690691.0921,176,6,15,2
690691.0921,176,101,127,2
690691.0921,176,100,127,2
690691.0921,177,101,0,2
690691.0921,177,100,0,2
690691.0921,177,6,48,2
690691.0921,177,101,127,2
690691.0921,177,100,127,2
690691.0921,178,101,0,2
690691.0921,178,100,0,2
690691.0921,178,6,48,2
690691.0921,178,101,127,2
690691.0921,178,100,127,2
690691.0921,179,101,0,2
690691.0921,179,100,0,2
690691.0921,179,6,48,2
690691.0921,179,101,127,2
690691.0921,179,100,127,2
690691.0921,180,101,0,2
690691.0921,180,100,0,2
690691.0921,180,6,48,2
690691.0921,180,101,127,2
690691.0921,180,100,127,2
690691.0921,181,101,0,2
690691.0921,181,100,0,2
690691.0921,181,6,48,2
690691.0921,181,101,127,2
690691.0921,181,100,127,2
690691.0921,182,101,0,2
690691.0921,182,100,0,2
690691.0921,182,6,48,2
690691.0921,182,101,127,2
690691.0921,182,100,127,2
690691.0921,183,101,0,2
690691.0921,183,100,0,2
690691.0921,183,6,48,2
690691.0921,183,101,127,2
690691.0921,183,100,127,2
690691.0921,184,101,0,2
690691.0921,184,100,0,2
690691.0921,184,6,48,2
690691.0921,184,101,127,2
690691.0921,184,100,127,2
690691.0921,185,101,0,2
690691.0921,185,100,0,2
690691.0921,185,6,48,2
690691.0921,185,101,127,2
690691.0921,185,100,127,2
690691.0921,186,101,0,2
690691.0921,186,100,0,2
690691.0921,186,6,48,2
690691.0921,186,101,127,2
690691.0921,186,100,127,2
690691.0921,187,101,0,2
690691.0921,187,100,0,2
690691.0921,187,6,48,2
690691.0921,187,101,127,2
690691.0921,187,100,127,2
690691.0921,188,101,0,2
690691.0921,188,100,0,2
690691.0921,188,6,48,2
690691.0921,188,101,127,2
690691.0921,188,100,127,2
690691.0921,189,101,0,2
690691.0921,189,100,0,2
690691.0921,189,6,48,2
690691.0921,189,101,127,2
690691.0921,189,100,127,2
690691.0921,190,101,0,2
690691.0921,190,100,0,2
690691.0921,190,6,48,2
690691.0921,190,101,127,2
690691.0921,190,100,127,2
690691.0921,191,101,0,2
690691.0921,191,100,0,2
690691.0921,191,6,48,2
690691.0921,191,101,127,2
690691.0921,191,100,127,2
690691.0921,224,0,64,3
690691.0921,176,1,0,3
690691.0921,176,23,0,3
690691.0921,176,24,0,3
690691.0921,176,64,0,3
690695.5343,225,0,64,1
690695.5343,145,41,96,1
690695.5490,209,0,0,1
690695.5490,129,41,64,1
690696.0045,226,0,64,1
690696.0045,146,56,96,1
690696.0126,210,0,0,1
690696.0126,130,56,64,1
690696.4620,227,0,64,1
690696.4620,147,40,96,1
690696.5170,227,2,64,1
690696.5250,227,4,64,1
690696.5336,227,6,64,1
690696.5420,227,8,64,1
690696.5503,227,10,64,1
690696.5592,227,12,64,1
690696.5673,227,14,64,1
690696.5755,227,16,64,1
690696.5840,227,18,64,1
690696.5915,227,20,64,1
690696.5999,227,22,64,1
690696.6086,227,24,64,1
690696.6169,227,26,64,1
690696.6257,227,28,64,1
690696.6425,227,31,64,1
690696.6591,227,36,64,1
690696.6662,227,38,64,1
690696.6741,227,40,64,1
690696.6824,227,41,64,1
690696.6905,227,43,64,1
690696.6997,227,45,64,1
690696.7078,227,47,64,1
690696.7153,227,49,64,1
690696.7233,227,51,64,1
690696.7318,227,53,64,1
690696.7403,227,55,64,1
690696.7486,227,56,64,1
690696.7562,227,58,64,1
690696.7648,227,59,64,1
690696.7736,227,61,64,1
690696.7815,227,63,64,1
690696.7898,227,64,64,1
690696.7983,227,66,64,1
690696.8069,227,68,64,1
690696.8148,227,69,64,1
690696.8235,227,71,64,1
690696.8324,227,73,64,1
690696.8399,227,74,64,1
690696.8476,227,76,64,1
690696.8559,227,77,64,1
690696.8648,227,79,64,1
690696.8727,227,81,64,1
690696.8809,227,82,64,1
690696.8895,227,84,64,1
690696.8977,227,86,64,1
690696.9057,227,87,64,1
690696.9152,227,89,64,1
690696.9224,227,91,64,1
690696.9305,227,92,64,1
690696.9388,227,94,64,1
690696.9476,227,96,64,1
690696.9551,227,97,64,1
690696.9640,227,99,64,1
690696.9725,227,100,64,1
690696.9803,227,102,64,1
690696.9881,227,104,64,1
690696.9966,227,105,64,1
690697.0047,227,107,64,1
690697.0131,227,109,64,1
690697.0221,227,110,64,1
690697.0303,227,112,64,1
690697.0381,227,114,64,1
690697.0464,227,115,64,1
690697.0548,227,117,64,1
690697.0630,227,119,64,1
690697.0715,227,120,64,1
690697.0799,227,122,64,1
690697.0881,227,123,64,1
690697.0956,227,125,64,1
690697.1042,227,127,64,1
690697.1124,227,0,65,1
690697.1206,227,2,65,1
690697.1297,227,4,65,1
690697.1379,227,5,65,1
690697.1458,227,7,65,1
690697.1541,227,9,65,1
690697.1623,227,10,65,1
690697.1655,211,0,0,1
690697.1655,131,40,64,1
690697.7129,228,0,64,4
690697.7129,148,50,127,4
690697.7251,228,32,64,4
690697.7256,212,127,0,4
690697.7329,228,35,64,4
690697.7418,228,38,64,4
690697.7496,228,42,64,4
690697.7579,228,45,64,4
690697.7674,228,48,64,4
690697.7746,228,51,64,4
690697.7832,228,54,64,4
690697.7914,228,58,64,4
690697.7996,228,61,64,4
690697.8082,228,64,64,4
690697.8153,228,67,64,4
690697.8245,228,59,63,4
690697.8245,148,52,127,4
690697.8245,132,50,0,4
690697.8328,228,62,63,4
690697.8422,228,65,63,4
