t_s,port,port_name,status,d1,d2
6305.125422,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,183,6,48
6305.125422,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,183,101,127
6305.125423,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,183,100,127
6305.125423,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,184,101,0
6305.125423,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,184,100,0
6305.125423,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,184,6,48
6305.125424,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,184,101,127
6305.125424,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,184,100,127
6305.125424,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,185,101,0
6305.125424,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,185,100,0
6305.125425,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,185,6,48
6305.125425,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,185,101,127
6305.125425,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,185,100,127
6305.125425,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,186,101,0
6305.125425,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,186,100,0
6305.125426,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,186,6,48
6305.125426,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,186,101,127
6305.125426,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,186,100,127
6305.125426,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,187,101,0
6305.125427,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,187,100,0
6305.125427,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,187,6,48
6305.125427,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,187,101,127
6305.125427,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,187,100,127
6305.125428,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,188,101,0
6305.125428,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,188,100,0
6305.125428,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,188,6,48
6305.125428,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,188,101,127
6305.125428,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,188,100,127
