t,status,d1,d2,src
30042.9837,149,88,120,1
30042.9990,229,117,63,1
30042.9990,213,15,0,1
30043.0156,229,106,63,1
30043.0156,213,21,0,1
30043.0326,229,97,63,1
30043.0326,213,22,0,1
30043.0491,229,88,63,1
30043.0491,213,23,0,1
30043.0657,229,73,63,1
30043.0657,213,22,0,1
30043.0825,229,50,63,1
30043.0825,213,15,0,1
30043.0990,229,25,63,1
30043.0990,213,6,0,1
30043.1157,229,126,62,1
30043.1157,213,0,0,1
30043.1323,229,99,62,1
30043.1490,229,73,62,1
30043.1656,229,46,62,1
30043.1823,229,17,62,1
30043.1990,229,117,61,1
30043.2156,229,91,61,1
30043.2323,229,68,61,1
30043.2490,229,47,61,1
30043.2657,229,30,61,1
30043.2823,229,11,61,1
30043.2990,229,120,60,1
30043.3157,229,102,60,1
30043.3323,229,84,60,1
30043.3490,229,67,60,1
30043.3657,229,48,60,1
30043.3823,229,29,60,1
30043.3990,229,9,60,1
30043.4156,229,114,59,1
30043.4323,229,97,59,1
30043.4489,229,80,59,1
30043.4656,229,69,59,1
30043.4658,213,0,0,1
30043.4658,133,88,64,1
30044.7665,230,0,64,1
30044.7666,150,80,120,1
30044.8155,230,9,64,1
30044.8155,214,10,0,1
30044.8322,230,30,64,1
30044.8322,214,14,0,1
30044.8491,230,59,64,1
30044.8491,214,12,0,1
30044.8656,230,91,64,1
30044.8656,214,9,0,1
30044.8823,230,122,64,1
30044.8824,214,6,0,1
30044.8989,230,27,65,1
30044.8989,214,5,0,1
30044.9156,230,58,65,1
30044.9156,214,4,0,1
30044.9323,230,88,65,1
30044.9323,214,5,0,1
30044.9489,230,116,65,1
30044.9655,230,15,66,1
30044.9823,230,37,66,1
30044.9823,214,4,0,1
30044.9989,230,59,66,1
30045.0156,230,76,66,1
30045.0323,230,88,66,1
30045.0489,230,95,66,1
30045.0489,214,3,0,1
30045.0656,230,100,66,1
30045.0823,230,101,66,1
30045.1822,230,100,66,1
30045.2155,230,99,66,1
30045.2155,214,4,0,1
30045.2488,230,98,66,1
30045.3154,230,97,66,1
30045.3654,214,5,0,1
30045.3822,230,96,66,1
30045.3989,230,95,66,1
30045.3989,214,6,0,1
30045.4322,230,93,66,1
30045.4488,230,91,66,1
30045.4654,230,89,66,1
30045.4654,214,7,0,1
30045.4821,230,86,66,1
30045.4988,230,85,66,1
30045.5155,230,83,66,1
30045.5322,230,81,66,1
30045.5489,230,80,66,1
30045.5489,214,8,0,1
30045.5666,231,0,64,1
30045.5666,151,79,120,1
30045.5667,230,79,66,1
30045.5822,230,77,66,1
30045.5822,214,9,0,1
30045.5989,230,76,66,1
30045.6156,230,75,66,1
30045.6157,231,125,63,1
30045.6157,215,3,0,1
30045.6323,230,73,66,1
30045.6323,214,10,0,1
30045.6323,231,119,63,1
30045.6323,215,9,0,1
30045.6490,230,70,66,1
30045.6490,231,110,63,1
30045.6491,215,15,0,1
30045.6657,230,68,66,1
30045.6657,231,103,63,1
30045.6657,215,16,0,1
30045.6822,230,66,66,1
30045.6822,231,100,63,1
30045.6824,231,97,63,1
30045.6824,215,17,0,1
30045.6824,214,0,0,1
30045.6824,134,80,64,1
30045.6989,231,90,63,1
30045.6989,215,18,0,1
30045.7156,231,83,63,1
30045.7322,231,76,63,1
30045.7322,215,19,0,1
30045.7489,231,67,63,1
30045.7656,231,54,63,1
30045.7656,215,20,0,1
30045.7822,231,39,63,1
30045.7822,215,19,0,1
30045.7989,231,23,63,1
30045.7989,215,16,0,1
30045.8155,231,3,63,1
30045.8155,215,14,0,1
30045.8322,231,110,62,1
30045.8322,215,12,0,1
30045.8489,231,86,62,1
30045.8489,215,10,0,1
30045.8656,231,60,62,1
30045.8656,215,6,0,1
30045.8822,231,36,62,1
30045.8822,215,4,0,1
