t_s,fps,worst_frame_ms,thermal
# t=0.0 surface attached 924x1480
439,120.9,10.78,severe
440,120.8,10.55,severe
441,121.0,9.81,severe
442,120.7,10.75,severe
443,120.9,10.11,severe
444,120.9,10.42,severe
445,121.0,10.05,severe
446,120.6,10.57,severe
447,121.0,10.33,severe
448,120.8,10.77,severe
449,120.8,10.64,severe
450,120.9,10.31,severe
451,120.9,11.04,severe
452,120.8,11.13,severe
453,120.9,10.25,severe
454,121.0,10.79,severe
455,120.7,9.84,severe
456,120.9,9.89,severe
457,120.9,10.52,severe
458,120.7,11.81,severe
459,120.9,10.60,severe
460,120.9,9.69,severe
461,120.9,10.91,severe
462,120.7,10.18,severe
463,121.0,10.05,severe
464,120.9,10.31,severe
465,120.8,10.39,severe
466,120.8,10.65,severe
467,120.9,10.62,severe
468,120.9,12.74,severe
469,120.9,11.04,severe
470,120.8,9.96,severe
471,120.8,10.14,severe
472,121.0,10.19,severe
473,120.9,10.33,severe
474,121.0,10.11,severe
475,120.7,10.14,severe
476,121.0,11.47,severe
477,120.9,9.99,severe
478,120.9,10.22,severe
479,120.7,10.24,severe
480,120.9,9.72,severe
481,120.8,11.46,severe
482,120.9,11.77,severe
483,120.9,11.53,severe
484,120.8,9.81,severe
485,120.9,10.95,severe
486,120.9,10.09,severe
487,120.8,10.15,severe
488,120.8,13.55,severe
489,121.0,10.57,severe
490,120.6,10.91,severe
491,121.0,10.35,severe
492,121.0,11.65,severe
493,120.9,9.76,severe
494,120.8,10.64,severe
495,120.9,10.61,severe
496,120.8,10.60,severe
497,121.0,9.97,severe
498,120.8,11.56,severe
499,120.8,10.20,severe
500,120.9,10.69,severe
501,121.0,10.82,severe
502,120.8,10.27,severe
503,120.9,9.74,severe
504,120.9,10.43,severe
505,120.8,10.39,severe
506,120.7,10.63,severe
507,120.9,10.27,severe
508,120.9,10.68,severe
509,120.8,9.95,severe
510,121.0,10.01,severe
511,120.9,10.81,severe
# t=511.9 sim_scale -> 0.75 (thermal none)
512,120.7,10.42,none
513,121.0,11.09,none
514,120.8,11.11,none
515,120.8,11.32,none
516,120.9,12.00,none
517,120.9,11.26,none
518,121.0,13.72,none
519,120.9,11.17,none
520,120.7,11.99,none
521,120.8,12.09,none
522,120.9,11.72,none
523,120.9,11.41,none
524,120.9,11.44,none
525,120.9,11.33,none
526,120.9,11.42,none
527,120.9,11.73,none
528,120.8,11.31,none
529,121.0,11.64,none
530,120.8,11.57,none
531,120.9,11.46,none
532,120.8,11.31,none
533,120.9,11.30,none
534,120.9,11.39,none
535,120.7,11.14,none
536,121.0,11.12,none
537,120.9,11.31,none
538,120.9,11.06,none
539,120.8,11.23,none
540,120.9,11.29,none
541,120.9,11.36,none
542,121.0,11.56,none
543,120.9,11.28,none
544,120.9,10.91,none
545,120.7,11.28,none
546,120.9,11.41,none
547,120.9,11.28,none
548,121.0,13.69,none
549,120.7,11.57,none
550,120.9,11.77,none
551,120.9,11.64,none
552,120.9,11.03,none
553,120.9,11.22,none
554,120.9,11.55,none
555,120.9,11.53,none
556,120.8,11.46,none
557,121.0,11.47,none
558,120.8,11.77,none
559,120.9,11.69,none
561,121.0,11.21,none
562,120.8,11.47,none
563,121.0,11.16,none
564,120.9,11.18,none
565,120.9,11.20,none
566,120.9,11.59,none
567,120.7,11.48,none
568,121.0,11.65,none
569,120.9,11.02,none
570,120.9,11.88,none
571,120.9,11.55,none
572,120.9,11.80,none
573,121.0,11.58,none
574,120.9,11.48,none
575,120.8,10.94,none
576,120.8,11.37,none
577,121.0,11.35,none
578,121.0,11.08,none
579,120.9,15.37,none
580,120.7,11.32,none
581,120.9,11.62,none
582,120.9,11.97,none
583,121.0,11.65,none
584,120.7,11.34,none
585,121.0,11.30,none
586,120.8,11.50,none
587,120.9,11.50,none
588,120.9,11.47,none
589,121.0,11.14,none
590,121.0,12.44,none
591,120.7,11.74,none
592,120.8,11.71,none
593,120.8,12.21,none
594,121.0,14.79,none
595,120.8,10.90,none
596,120.9,11.26,none
597,120.9,11.11,none
598,120.9,11.93,none
599,120.9,11.37,none
600,120.9,11.65,none
601,120.9,11.14,none
602,120.8,11.21,none
603,121.1,11.51,none
# stress feeder done, 1367339 messages, dropped=0
604,120.8,9.41,none
605,120.9,11.15,none
606,120.9,9.12,none
607,120.8,9.50,none
608,121.0,9.04,none
609,120.8,9.52,none
610,120.9,9.89,none
611,120.9,9.63,none
612,120.8,9.05,none
613,121.0,10.69,none
614,120.9,9.89,none
615,120.8,9.50,none
616,120.9,11.14,none
617,120.9,9.62,none
618,120.9,10.08,none
619,120.9,9.69,none
620,120.9,9.79,none
621,120.9,9.81,none
622,120.9,9.39,none
623,120.9,9.41,none
624,120.9,9.66,none
625,120.9,9.70,none
626,120.8,10.25,none
627,120.9,9.19,none
628,120.9,9.69,none
629,120.9,9.58,none
630,120.9,15.25,none
631,120.9,9.24,none
632,120.8,9.86,none
633,120.9,9.71,none
634,120.9,10.50,none
